"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 11:42:29 GMT 2023","Wed Nov 22 11:42:35 GMT 2023","6376","Safari","2. Page: Administration.spec.js","@Story: Workflow Configuration","","","@Test:C203 | Example2",""
"passed","Wed Nov 22 11:49:27 GMT 2023","Wed Nov 22 11:49:35 GMT 2023","7310","Chrome","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C199 | Inval@Test Password Error",""
"passed","Wed Nov 22 11:49:48 GMT 2023","Wed Nov 22 11:49:53 GMT 2023","4889","Chrome","2. Page: Administration.spec.js","@Story: Tab | Portfolio Company Users","","","@Test:C203 | Edit User",""
"passed","Wed Nov 22 11:49:35 GMT 2023","Wed Nov 22 11:49:41 GMT 2023","6193","Chrome","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Editing the new User",""
"passed","Wed Nov 22 11:33:52 GMT 2023","Wed Nov 22 11:33:58 GMT 2023","6059","Chrome","3. Page: Admin | Data Collection .spec.js","@Story: Portfolio Company Users | Company Admin","","","@Test:C203 | Edit User",""
"passed","Wed Nov 22 11:41:55 GMT 2023","Wed Nov 22 11:42:02 GMT 2023","6646","Chrome","2. Page: Administration.spec.js","@Story: Workflow Configuration","","","@Test:C203 | Example1",""
"passed","Wed Nov 22 11:41:55 GMT 2023","Wed Nov 22 11:42:02 GMT 2023","7081","Chrome","2. Page: Administration.spec.js","@Story: Template Configuration","","","@Test:C203 | Add New Template - (From Lantern Template)",""
"passed","Wed Nov 22 11:42:01 GMT 2023","Wed Nov 22 11:42:13 GMT 2023","12145","Chrome","2. Page: Administration.spec.js","@Story: Workflow Configuration","","","@Test:C203 | Example 3",""
"passed","Wed Nov 22 11:50:54 GMT 2023","Wed Nov 22 11:50:58 GMT 2023","4117","Safari","2. Page: Administration.spec.js","@Story: Tab | Workflow Configuration","","","@Test:C203 | Example1",""
"passed","Wed Nov 22 11:50:42 GMT 2023","Wed Nov 22 11:50:59 GMT 2023","17255","Safari","1. Page: Login.spec.js","@Story: Authentication Functionality","","","@Test:C203 | Successful Authentication",""
"passed","Wed Nov 22 11:50:58 GMT 2023","Wed Nov 22 11:51:03 GMT 2023","5039","Safari","2. Page: Administration.spec.js","@Story: Tab | Workflow Configuration","","","@Test:C203 | Example 3",""
"passed","Wed Nov 22 11:50:23 GMT 2023","Wed Nov 22 11:50:29 GMT 2023","5489","Firefox","2. Page: Administration.spec.js","@Story: Tab | Template Configuration","","","@Test:C203 | Add New Template - (Blanc)",""
"passed","Wed Nov 22 11:33:46 GMT 2023","Wed Nov 22 11:33:52 GMT 2023","5207","Chrome","3. Page: Admin | Data Collection .spec.js","@Story: Template Configuration | Company Admin","","","@Test:C203 | Add New Template - (Cancel Button)",""
"passed","Wed Nov 22 11:50:27 GMT 2023","Wed Nov 22 11:50:33 GMT 2023","5364","Firefox","2. Page: Administration.spec.js","@Story: Tab | Workflow Configuration","","","@Test:C203 | Example 3",""
"passed","Wed Nov 22 11:49:35 GMT 2023","Wed Nov 22 11:49:42 GMT 2023","6359","Chrome","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Deleting the new User",""
"passed","Wed Nov 22 11:50:01 GMT 2023","Wed Nov 22 11:50:06 GMT 2023","4942","Firefox","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C200 | Successful Login Redirect",""
"passed","Wed Nov 22 11:42:16 GMT 2023","Wed Nov 22 11:42:22 GMT 2023","6341","Safari","2. Page: Administration.spec.js","@Story: User Administration","","","@Test:C203 | Inviting a new User",""
"broken","Wed Nov 22 11:51:04 GMT 2023","Wed Nov 22 11:51:34 GMT 2023","30769","Firefox","1. Page: Login.spec.js","@Story: Authentication Functionality","","","@Test:C203 | Successful Authentication",""
"passed","Wed Nov 22 11:42:31 GMT 2023","Wed Nov 22 11:42:36 GMT 2023","5048","Safari","2. Page: Administration.spec.js","@Story: Portfolio Company Users","","","@Test:C203 | Edit User",""
"passed","Wed Nov 22 11:42:29 GMT 2023","Wed Nov 22 11:42:36 GMT 2023","6353","Safari","2. Page: Administration.spec.js","@Story: Workflow Configuration","","","@Test:C203 | Example 3",""
"passed","Wed Nov 22 11:42:23 GMT 2023","Wed Nov 22 11:42:29 GMT 2023","6220","Safari","2. Page: Administration.spec.js","@Story: Template Configuration","","","@Test:C203 | Add New Template - (From Lantern Template)",""
"passed","Wed Nov 22 11:41:48 GMT 2023","Wed Nov 22 11:41:55 GMT 2023","6906","Chrome","2. Page: Administration.spec.js","@Story: User Administration","","","@Test:C203 | Inviting a new User",""
"passed","Wed Nov 22 11:50:57 GMT 2023","Wed Nov 22 11:51:02 GMT 2023","4850","Safari","2. Page: Administration.spec.js","@Story: Tab | Workflow Configuration","","","@Test:C203 | Example2",""
"passed","Wed Nov 22 11:41:48 GMT 2023","Wed Nov 22 11:41:55 GMT 2023","7121","Chrome","2. Page: Administration.spec.js","@Story: User Administration","","","@Test:C203 | Editing the new User",""
"passed","Wed Nov 22 11:49:54 GMT 2023","Wed Nov 22 11:49:57 GMT 2023","3530","Firefox","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C197 | Inval@Test Email Error",""
"passed","Wed Nov 22 11:50:33 GMT 2023","Wed Nov 22 11:50:38 GMT 2023","4447","Safari","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C204 | Empty Email Field",""
"passed","Wed Nov 22 11:42:34 GMT 2023","Wed Nov 22 11:42:39 GMT 2023","5102","Safari","2. Page: Administration.spec.js","@Story: Portfolio Company Users","","","@Test:C203 | Remove User",""
"passed","Wed Nov 22 11:49:34 GMT 2023","Wed Nov 22 11:49:48 GMT 2023","14398","Chrome","1. Page: Login.spec.js","@Story: Authentication Functionality","","","@Test:C203 | Successful Authentication",""
"passed","Wed Nov 22 11:50:58 GMT 2023","Wed Nov 22 11:51:04 GMT 2023","5992","Safari","2. Page: Administration.spec.js","@Story: Tab | Portfolio Company Users","","","@Test:C203 | Edit User",""
"passed","Wed Nov 22 11:50:07 GMT 2023","Wed Nov 22 11:50:12 GMT 2023","4756","Firefox","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Deleting the new User",""
"passed","Wed Nov 22 11:50:42 GMT 2023","Wed Nov 22 11:50:47 GMT 2023","4756","Safari","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Inviting a new User",""
"passed","Wed Nov 22 11:49:57 GMT 2023","Wed Nov 22 11:50:00 GMT 2023","2588","Firefox","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C199 | Inval@Test Password Error",""
